date_key,full_date,year,quarter,quarter_name,month_number,month_name,month_short,year_month,iso_week,day_of_month,day_of_week,day_name,day_short,is_weekend,day_of_year
20150818,2015-08-18,2015,3,Q3 2015,8,August,Aug,2015-08,34,18,2,Tuesday,Tue,False,230
20150819,2015-08-19,2015,3,Q3 2015,8,August,Aug,2015-08,34,19,3,Wednesday,Wed,False,231
20150820,2015-08-20,2015,3,Q3 2015,8,August,Aug,2015-08,34,20,4,Thursday,Thu,False,232
20150821,2015-08-21,2015,3,Q3 2015,8,August,Aug,2015-08,34,21,5,Friday,Fri,False,233
20150822,2015-08-22,2015,3,Q3 2015,8,August,Aug,2015-08,34,22,6,Saturday,Sat,True,234
20150823,2015-08-23,2015,3,Q3 2015,8,August,Aug,2015-08,34,23,7,Sunday,Sun,True,235
20150824,2015-08-24,2015,3,Q3 2015,8,August,Aug,2015-08,35,24,1,Monday,Mon,False,236
20150825,2015-08-25,2015,3,Q3 2015,8,August,Aug,2015-08,35,25,2,Tuesday,Tue,False,237
20150826,2015-08-26,2015,3,Q3 2015,8,August,Aug,2015-08,35,26,3,Wednesday,Wed,False,238
20150827,2015-08-27,2015,3,Q3 2015,8,August,Aug,2015-08,35,27,4,Thursday,Thu,False,239
20150828,2015-08-28,2015,3,Q3 2015,8,August,Aug,2015-08,35,28,5,Friday,Fri,False,240
20150829,2015-08-29,2015,3,Q3 2015,8,August,Aug,2015-08,35,29,6,Saturday,Sat,True,241
20150830,2015-08-30,2015,3,Q3 2015,8,August,Aug,2015-08,35,30,7,Sunday,Sun,True,242
20150831,2015-08-31,2015,3,Q3 2015,8,August,Aug,2015-08,36,31,1,Monday,Mon,False,243
20150901,2015-09-01,2015,3,Q3 2015,9,September,Sep,2015-09,36,1,2,Tuesday,Tue,False,244
20150902,2015-09-02,2015,3,Q3 2015,9,September,Sep,2015-09,36,2,3,Wednesday,Wed,False,245
20150903,2015-09-03,2015,3,Q3 2015,9,September,Sep,2015-09,36,3,4,Thursday,Thu,False,246
20150904,2015-09-04,2015,3,Q3 2015,9,September,Sep,2015-09,36,4,5,Friday,Fri,False,247
